statute,title_id,title_text,level_1_id,level_1_text,level_2_id,level_2_text,level_3_id,level_3_text,level_4_id,level_4_text,section_id,section_text
03_101,03,agriculture,part i, general provisions,chapter 1, preliminary provisions,-,-,-,-,101, short title of title.
03_102,03,agriculture,part i, general provisions,chapter 1, preliminary provisions,-,-,-,-,102, definitions.
03_311,03,agriculture,part i, general provisions,chapter 3, local regulation,subchapter a, preliminary provisions,-,-,311, scope.
03_312,03,agriculture,part i, general provisions,chapter 3, local regulation,subchapter a, preliminary provisions,-,-,312, definitions.
03_313,03,agriculture,part i, general provisions,chapter 3, local regulation,subchapter b, normal agricultural operations,-,-,313, certain local government unit actions prohibited.
03_314,03,agriculture,part i, general provisions,chapter 3, local regulation,subchapter b, normal agricultural operations,-,-,314, duties of attorney general.
03_315,03,agriculture,part i, general provisions,chapter 3, local regulation,subchapter b, normal agricultural operations,-,-,315, right of action.
03_316,03,agriculture,part i, general provisions,chapter 3, local regulation,subchapter b, normal agricultural operations,-,-,316, commonwealth court masters.
03_317,03,agriculture,part i, general provisions,chapter 3, local regulation,subchapter b, normal agricultural operations,-,-,317, attorney fees and costs.
03_318,03,agriculture,part i, general provisions,chapter 3, local regulation,subchapter b, normal agricultural operations,-,-,318, reports to general assembly.
03_501,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,501, scope.
03_502,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,502, declaration of legislative purpose.
03_503,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,503, definitions.
03_504,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,504, powers and duties of commission.
03_505,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,505, powers and duties of department of environmental protection.
03_506,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,506, nutrient management plans.
03_507,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,507, manure application setbacks and buffers.
03_508,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,508, nutrient management certification program and odor management certification program.
03_509,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,509, odor management plans.
03_510,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,510, nutrient management advisory board.
03_511,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,511, financial assistance.
03_512,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,512, nutrient management fund.
03_513,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,513, unlawful conduct.
03_514,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,514, civil penalties and remedies.
03_515,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,515, limitation of liability.
03_516,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,516, enforcement authority; enforcement orders.
03_517,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,517, appealable actions.
03_518,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,518, powers reserved under existing laws.
03_519,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,519, preemption of local ordinances.
03_520,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,520, repeals.
03_521,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,521, other statutes not affected.
03_522,03,agriculture,part i, general provisions,chapter 5, nutrient management and odor management,-,-,-,-,522, regulations.
