statute_name,statute_description
18 § 4114,Secure Execution Docs By Deception
18 § 4904 §§ A1,Unsworn Falsification to Authorities
18 § 2707.1 §§ A,Discharge Of A Firearm Into Occupied Structure
18 § 3123 §§ A2,IDSI Threat Forcible Compulsion
18 § 2903 §§ A,False Imprisonment
18 § 3701 §§ A1V,Robbery-Take Property Fr Other/Force
18 § 4911 §§ A1,Tamper With Public Record/information
75 § 3736 §§ A,Reckless Driving
18 § 6111 §§ G4,Firearm Ownership-Providing False Info
18 § 4106 §§ A1,Access Device Used To Obt Or Att Obt Prop/Service
18 § 3921 §§ B,Theft By Unlaw Taking-Immovable Prop
18 § 903 §§ A1,Criminal Conspiracy Engaging
18 § 5511 §§ C1,Cruelty to Animals
18 § 6312 §§ B,Photograph/Film/Depict On Computer Sex Act-Child
18 § 4105 §§ A1,Bad Checks
18 § 4101 §§ A3,Forgery - Utters Forged Writing
18 § 6111 §§ G2,Penalties - Sales to Ineligible Transferee
62 § 1407 §§ A4,Submit Claim Serv Not Rend'd To Pt
18 § 3121 §§ A1,Rape Forcible Compulsion
18 § 4120 §§ A,Identity Theft
18 § 3121 §§ C,Rape of Child
18 § 3126 §§ A1,Indec Asslt-W/O Cons Of Other
18 § 4117 §§ B4,Insurance/Intent To Defraud
18 § 4117 §§ B4,Insurance / Intent To Defraud
18 § 3126 §§ A3,Indecent Assault Threat Forcible Compulsion
18 § 4304 §§ A1,Endangering Welfare of Children - Parent/Guardian/Other Commits Offense
75 § 3735.1 §§ A,Aggravated Assault By Vehicle While Dui
18 § 2902 §§ A1,Unlawful Restraint/ Serious Bodily Injury
18 § 3126 §§ A7,Indecent Assault Person Less than 13 Years of Age
75 § 3802 §§ C*,DUI: Highest Rte of Alc (BAC .16+) 1st Off
18 § 5532 §§ A,Neglect of Animals - Tethering
18 § 5543 §§ 1,Animal Fighting - Amusement or Gain
18 § 5544,Animal Fighting Paraphernalia
18 § 4117 §§ A2,False/Fraud/Incomp Insurance Claim
18 § 6312 §§ D,Child Pornography
75 § 3743 §§ A,Accident Involv Damage Attended Vehicle/Prop
0 § 0 §§ 0,Unknown Statute
18 § 3302 §§ B,Risking Catastrophe
18 § 4906 §§ B1,False Reports - Reported Offense Did Not Occur
18 § 4913 §§ A1,Falsely Pretends to Hold Notary Public Office or Hold a Professional/Occupational License
18 § 6312 §§ D1,Child Pornography
18 § 3927 §§ A,Theft By Fail To Make Req Disp Funds
18 § 3125 §§ B,Agg. Ind. Assault of Child
18 § 3121 §§ A2,Rape Threat Of Forcible Compulsion
18 § 4911 §§ A1,Tamper With Public Record/Information
18 § 4118,Washing Vehicle Titles
18 § 4117 §§ A1,Fraud Document - Insurance Rate Determ
18 § 4101 §§ A2,Forgery - Unauthorized Act In Writing
18 § 5111 §§ A1,Deal In Proc Unl Act/Intent To Promote
18 § 3124.1,Sexual Assault
23 § 6114 §§ A,Contempt For Violation of Order or Agreement
18 § 3126 §§ A4,Indecent Assault Person Unconscious
18 § 3125 §§ A2,Agg. Ind. Assault - Forcible Compulsion
18 § 3125 §§ A8,Agg. Ind. Assault - Comp. Less Than 16
18 § 5534 §§ A1,Aggravated Cruelty to Animals - Torture
18 § 3126 §§ A2,Indecent Assault Forcible Compulsion
62 § 1407 §§ A1,False/Fraud Med Assist Claim
18 § 3127 §§ A,Indecent Exposure
72 § 7353 §§ B,Fail To Collect/Pay Pers Inc Tax
18 § 6319 §§ A,Solicitation Of Minors To Traffic Drugs
75 § 3732.1 §§ A,Aggravated assault by vehicle
18 § 3123 §§ A7,IDSI Person Less Than 16 Yrs Age
18 § 3126 §§ A8,Ind Asslt Person Less 16 Yrs Age
18 § 3126 §§ A6,Indecent Assault Person With Mental Disability
18 § 2707 §§ A,Propel Missile Into Occ Vehicles
18 § 4107 §§ A6,Dec Bus Pract - False/Mis State Cred
75 § 3733 §§ A,Fleeing or Attempting to Elude Officer
18 § 2502 §§ B,Murder Of The Second Degree
18 § 6111 §§ G4I,Makes Any Materially False Oral Statement
18 § 4104 §§ A,Tamper Records Or Id-Writing
18 § 6312 §§ C,Dissem Photo/Film of Child Sex Acts
75 § 1501 §§ A,Driving W/O A License
18 § 4952 §§ A1,Intim Wit/Vit - Refrain From Report
18 § 6110.2 §§ A,"Posses Firearm W/Manufacturer Number Altered, Etc"
18 § 4906 §§ A,False Report - Falsely Incriminate Another
18 § 6312 §§ C1,Dissem Photo/Film Of Child Sex Acts
18 § 6301 §§ A1,Corruption Of Minors
35 § 780-113 §§ A12,Acq Or Obt Poss Of Contr Subs Misre
18 § 3122.1 §§ A1,Statutory Sexual Assault:  4-8 Years Older
18 § 4905 §§ A,False Alarm To Agency Of Public Safety
18 § 3123 §§ B,Invol. Deviate Sexual Intercourse W/Child
18 § 902 §§ A,Criminal Solicitation
18 § 6111 §§ A1,Deliver Firearm After 48 Hours Elapsed
18 § 2905 §§ A,Interfer Custody Committed Person
18 § 2709 §§ A4,"Harassment - Comm. Lewd, Threatening, Etc. Language"
18 § 2709 §§ A1,Harassment - Subject Other to Physical Contact
62 § 1407 §§ A7,Submit Claim W/False Info
18 § 2902 §§ B1,Unlawful Restraint of Minor/Not Parent - Risk of Bodily Injury
62 § 1407 §§ A9,Submit Claim Serv Not Rend'd By Prov
18 § 5703 §§ 1,Intercept Communications
18 § 7611 §§ A1,Unlaw. Use of Computer - Access to Disrupt Funct.
18 § 4117 §§ A3,Insurance Fraud
18 § 3934 §§ A,Theft From A Motor Vehicle
18 § 6110.1 §§ A,Possession Of Firearm By Minor
18 § 3702 §§ A,Robbery Of Motor Vehicle
18 § 4904 §§ A2,Unsworn Falsification to Authorities - Forged/Altered Document
18 § 2701 §§ A3,Simple Assault
18 § 4910 §§ 1,Tamper With/Fabricate Physical Evidence
72 § 7268 §§ B,Fail To Remit Sales Tax/File Return
18 § 6301 §§ A1ii,Corruption Of Minors - Defendant Age 18 or Above
77 § 501 §§ B,Penalty/Fail Procure Wkr Comp
18 § 3123 §§ C,Invol. Deivate Sexual Intercourse - Serious Bodily Inj.
18 § 2903 §§ B,False Imprisonment of Minor/Not Parent
18 § 6312 §§ B1,Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child
18 § 5301 §§ 1,Off'l Oppression-Arrest Search Etc
18 § 5503 §§ A1,Disorderly Conduct Engage In Fighting
18 § 3211 §§ A,Abortion on Unborn Child of 24 weeks or more
18 § 3125 §§ A1,Agg. Ind. Assault W/O Consent
18 § 908 §§ A,Make Repairs/Sell/Etc Offens Weap
